hour_of_day,day_of_week,is_weekend,recent_activity_count_24h,recent_activity_count_7d,recent_amount_24h,max_single_amount_24h,historical_cashout_count_30d,historical_incident_count_500m,historical_incident_count_2km,atm_density_1km,connected_mule_accounts_count,unique_accounts_24h,hours_since_last_activity,amount_log_24h,velocity_surge_ratio,night_activity_ratio_7d,state_crime_risk_index,target_cashout_24h,target_fraud_cashout_24h,atm_id,atm_code,city,state,cutoff_time,year
0.0,4.0,0.0,2.0,14.0,983.3500000000001,541.19,3.0,2.0,53.0,0.0,0.0,2.0,15.033333333333333,6.891981524866097,1.0,0.07142857142857142,0.72,0,0,f1f8d2d0-6ea3-5875-acce-a83a08547247,ATM-NEW-0001,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,4.0,19.0,94929.54000000001,90209.36,3.0,4.0,67.0,0.0,0.0,4.0,5.933333333333334,11.460900745261645,1.4736842105263157,0.2631578947368421,0.72,1,0,c45eaf1f-d739-587d-8090-276bc5a6a01e,ATM-NEW-0002,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,3.0,10.0,8833.73,5333.73,7.0,3.0,57.0,0.0,0.0,3.0,9.333333333333334,9.086445824015176,2.1,0.1,0.72,0,0,b3dc96a5-31cc-51a8-a4bc-4d47da6df377,ATM-NEW-0003,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,9.0,5616.62,5616.62,5.0,1.0,41.0,0.0,0.0,1.0,4.116666666666666,8.633663365647077,0.7777777777777777,0.3333333333333333,0.72,0,0,91abf21e-5b5e-5823-b4f0-c5d40f77d717,ATM-NEW-0004,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,11.0,1206.95,1206.95,3.0,1.0,54.0,0.0,0.0,1.0,12.066666666666666,7.096679986909663,0.6363636363636364,0.2727272727272727,0.72,0,0,7bb876b7-d98c-59b9-bfe7-5d6d8706898d,ATM-NEW-0005,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,2.0,17.0,16791.78,15791.78,9.0,2.0,92.0,0.0,1.0,2.0,8.8,9.728704311112475,0.823529411764706,0.23529411764705882,0.72,0,0,863a1f8a-9358-5d83-a37a-ef1b3af72061,ATM-NEW-0006,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,2.0,22.0,5321.92,4572.6,11.0,2.0,105.0,0.0,0.0,2.0,12.283333333333333,8.5797773039409,0.6363636363636364,0.22727272727272727,0.72,0,0,ae9a45fc-c291-5efa-a2ad-8e3d969953d5,ATM-NEW-0007,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,19.0,947.57,947.57,5.0,1.0,53.0,0.0,0.0,1.0,22.233333333333334,6.854955587389936,0.3684210526315789,0.3684210526315789,0.72,0,0,6110b5e8-c838-5a36-af9e-ceec51e0c409,ATM-NEW-0008,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,13.0,503.17,503.17,9.0,1.0,63.0,0.0,0.0,1.0,8.583333333333334,6.222913512785278,0.5384615384615384,0.3076923076923077,0.72,0,0,d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9,ATM-NEW-0009,New Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,2.0,15.0,1642.71,1000.0,9.0,2.0,78.0,0.0,0.0,2.0,6.316666666666666,7.404711161029223,0.9333333333333333,0.26666666666666666,0.72,1,0,1ca42a9a-50ec-5a1d-99e3-81bf7c579716,ATM-NEW-0010,New Delhi,Delhi,2019-03-01T00:00:00,2019
