hour_of_day,day_of_week,is_weekend,recent_activity_count_24h,recent_activity_count_7d,recent_amount_24h,max_single_amount_24h,historical_cashout_count_30d,historical_incident_count_500m,historical_incident_count_2km,atm_density_1km,connected_mule_accounts_count,unique_accounts_24h,hours_since_last_activity,amount_log_24h,velocity_surge_ratio,night_activity_ratio_7d,state_crime_risk_index,target_cashout_24h,target_fraud_cashout_24h,atm_id,atm_code,city,state,cutoff_time,year
0.0,4.0,0.0,4.0,44.0,11636.79,5616.62,19.0,4.0,178.0,0.0,0.0,4.0,4.116666666666666,9.3620128407163,0.6363636363636364,0.25,0.72,1,0,2392ef62-262e-40c6-bc3f-7a5b8a3f9e84,ATM-DEL-1000,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,13.0,500.0,500.0,10.0,1.0,55.0,0.0,0.0,1.0,3.433333333333333,6.2166061010848646,0.5384615384615384,0.38461538461538464,0.72,0,0,e98ab337-55b9-4087-b714-c1b56ea6a3f0,ATM-DEL-1001,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,3.0,16.0,21874.83,15791.78,7.0,3.0,84.0,0.0,1.0,3.0,8.8,9.993137653363146,1.3125,0.25,0.72,0,0,faf8688b-552f-4a37-8f29-2e4caa1ab8f0,ATM-DEL-1002,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,1.0,13.0,624.83,624.83,8.0,1.0,46.0,0.0,0.0,1.0,18.85,6.439078768724305,0.5384615384615384,0.5384615384615384,0.72,0,0,6a9fe77d-0e89-44e7-99bc-714b44c3a779,ATM-DEL-1003,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,5.0,37.0,10632.86,6775.74,11.0,5.0,157.0,0.0,0.0,5.0,6.316666666666666,9.271798528658831,0.9459459459459459,0.21621621621621623,0.72,0,0,89745346-336d-4fed-a511-638837d69f89,ATM-DEL-1004,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,3.0,22.0,92322.7,90209.36,7.0,3.0,110.0,0.0,0.0,3.0,5.933333333333334,11.433056158928427,0.9545454545454546,0.13636363636363635,0.72,1,0,6e8a0ac3-49eb-49a2-9178-cbdc4f089147,ATM-DEL-1005,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,3.0,8.0,6813.79,3000.0,5.0,3.0,34.0,0.0,0.0,3.0,10.216666666666667,8.826850529275816,2.625,0.25,0.72,0,0,ad0aafe4-224d-43fe-84cf-860ea9746783,ATM-DEL-1006,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,2.0,9.0,983.3500000000001,541.19,1.0,2.0,28.0,0.0,0.0,2.0,15.033333333333333,6.891981524866097,1.5555555555555554,0.2222222222222222,0.72,0,0,2f162b44-a9e1-4dff-bab9-babcbdfcc328,ATM-DEL-1007,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,3.0,25.0,101135.74,99632.57,16.0,3.0,94.0,0.0,0.0,3.0,8.583333333333334,11.524228741565553,0.84,0.2,0.72,0,0,a856af15-7572-4450-931a-15fb3ddbb3dd,ATM-DEL-1008,Delhi,Delhi,2019-03-01T00:00:00,2019
0.0,4.0,0.0,0.0,13.0,0.0,0.0,2.0,0.0,43.0,0.0,0.0,0.0,45.61666666666667,0.0,0.0,0.3076923076923077,0.72,0,0,6ff64492-49e3-4db5-a407-2fd76914e8dd,ATM-DEL-1009,Delhi,Delhi,2019-03-01T00:00:00,2019
