feature,importance
n_txs_atm_30d,0.23262214630581896
hours_since_last_tx,0.1498964401203513
n_unique_accts_7d,0.13879012256846313
n_txs_atm_7d,0.10990995553769858
n_cashout_30d,0.08465942556719558
total_amt_24h,0.051621159915948074
amount_log_24h,0.05054507965745503
max_amt_24h,0.04358174164216738
atm_lat,0.03781088113044057
atm_lon,0.03031800410686309
n_unique_accts_24h,0.02750766526906802
n_txs_atm_24h,0.02104672874421305
n_cashout_7d,0.015330681142345691
n_cashout_24h,0.003823253792460539
n_fraud_cashout_30d,0.0019190391233637183
n_fraud_cashout_7d,0.0005756017410669291
n_fraud_cashout_24h,4.207363508035739e-05
is_weekend,0.0
hour_of_day,0.0
day_of_week,0.0
