feature,importance
n_txs_atm_30d,0.15188635499760922
hours_since_last_tx,0.10835305660075643
atm_lon,0.09551849014512809
max_amt_24h,0.08478638544268109
n_cashout_30d,0.08271670555465649
n_unique_accts_7d,0.07588116158324691
atm_lat,0.07226108073513052
total_amt_24h,0.06810572987797915
n_txs_atm_7d,0.06810490391341026
amount_log_24h,0.06453529031306689
n_txs_atm_24h,0.03858751552698144
n_unique_accts_24h,0.03815805880821571
n_cashout_7d,0.037894751211706615
n_cashout_24h,0.008635365160528185
n_fraud_cashout_30d,0.0028686970166848305
n_fraud_cashout_7d,0.0016444548712466547
n_fraud_cashout_24h,6.199824097152267e-05
is_weekend,0.0
hour_of_day,0.0
day_of_week,0.0
