approach_name,global_pr_auc,global_roc_auc,pos_cutoff_hit5_pct,pos_cutoff_hit10_pct,pos_cutoff_hit20_pct,events_recovered_top5,events_recovered_top10,events_recovered_top20,pos_cutoff_mean_p5,pos_cutoff_mean_p10,pos_cutoff_mean_p20,pos_cutoff_mean_r5,pos_cutoff_mean_r10,pos_cutoff_mean_r20,all_cutoff_mean_p5,all_cutoff_mean_p10,all_cutoff_mean_p20
Approach A1 (Robust Z-Score),0.003273,0.574752,6.67,20.0,26.67,1/16,3/16,4/16,0.013333,0.02,0.013333,0.066667,0.166667,0.233333,0.003922,0.005882,0.003922
Approach A2 (Isolation Forest),0.00307,0.604663,0.0,6.67,26.67,0/16,1/16,4/16,0.0,0.006667,0.013333,0.0,0.066667,0.233333,0.0,0.001961,0.003922
Approach B (Activity Residual),0.002528,0.544734,13.33,13.33,13.33,2/16,2/16,2/16,0.026667,0.013333,0.006667,0.1,0.1,0.1,0.007843,0.003922,0.001961
Approach C (Candidate Trigger),0.00318,0.533252,13.33,13.33,20.0,2/16,2/16,3/16,0.026667,0.013333,0.01,0.133333,0.133333,0.2,0.007843,0.003922,0.002941
Approach D (Graph Risk),0.00313,0.57404,6.67,13.33,20.0,1/16,2/16,3/16,0.013333,0.013333,0.01,0.066667,0.133333,0.2,0.003922,0.003922,0.002941
Approach E (Hybrid 5-Way),0.002694,0.541848,0.0,6.67,20.0,0/16,1/16,3/16,0.0,0.006667,0.01,0.0,0.066667,0.2,0.0,0.001961,0.002941
Combo A+B,0.003169,0.57124,6.67,13.33,26.67,1/16,2/16,4/16,0.013333,0.013333,0.013333,0.066667,0.1,0.233333,0.003922,0.003922,0.003922
Combo A+B+D,0.003229,0.593521,6.67,13.33,26.67,1/16,2/16,4/16,0.013333,0.013333,0.013333,0.066667,0.1,0.233333,0.003922,0.003922,0.003922
Baseline: Random,0.003214,0.468709,6.67,13.33,26.67,1/16,2/16,4/16,0.013333,0.013333,0.013333,0.066667,0.133333,0.233333,0.003922,0.003922,0.003922
Baseline: 30d Volume,0.002666,0.569459,6.67,6.67,6.67,1/16,1/16,1/16,0.013333,0.006667,0.003333,0.066667,0.066667,0.066667,0.003922,0.001961,0.00098
Baseline: 7d Volume,0.002732,0.599677,0.0,6.67,13.33,0/16,1/16,2/16,0.0,0.006667,0.006667,0.0,0.066667,0.133333,0.0,0.001961,0.001961
Baseline: Hist Fraud Rate,0.002004,0.491334,0.0,0.0,6.67,0/16,0/16,1/16,0.0,0.0,0.003333,0.0,0.0,0.066667,0.0,0.0,0.00098
Baseline: Recent Fraud 7d,0.002811,0.571571,0.0,6.67,33.33,0/16,1/16,5/16,0.0,0.006667,0.016667,0.0,0.066667,0.333333,0.0,0.001961,0.004902
