event_index,timestamp,atm_id,amount,is_fraud,is_cw,risk_score,severity,confidence,mapping_confidence
1,2023-05-01 00:00:00,81697ea2-f5d...,624.39,0,0,0.13,LOW,0.381,0.9512
2,2023-05-01 00:01:00,c991fb7a-f5c...,16191.88,0,0,0.13,LOW,0.381,0.9512
3,2023-05-01 00:05:00,2ec2dfb2-193...,254.0,0,0,0.13,LOW,0.381,0.9512
4,2023-05-01 00:13:00,bbdf6837-aab...,720.15,0,0,0.13,LOW,0.381,0.9512
5,2023-05-01 00:19:00,9e342a67-6e2...,984.0,0,0,0.13,LOW,0.381,0.9512
6,2023-05-01 00:20:00,5cbba4d0-3c5...,270166.02,0,0,0.13,LOW,0.381,0.9512
7,2023-05-01 00:30:00,81697ea2-f5d...,1000.0,0,1,0.395,MEDIUM,0.3272,0.9512
8,2023-05-01 00:37:00,8df3fb3f-36b...,2325.85,0,0,0.13,LOW,0.381,0.9512
9,2023-05-01 00:38:00,37d50aaa-0ca...,10065.66,0,0,0.13,LOW,0.381,0.9512
10,2023-05-01 00:41:00,3b1e5d03-563...,3897.44,0,0,0.13,LOW,0.381,0.9512
11,2023-05-01 00:42:00,7af28f6a-7ed...,32220.04,0,0,0.13,LOW,0.381,0.9512
12,2023-05-01 00:55:00,800f26bb-ab1...,2162.31,0,0,0.13,LOW,0.381,0.9512
13,2023-05-01 01:12:00,6ded4d28-8bc...,61614.38,0,0,0.13,LOW,0.381,0.9512
14,2023-05-01 01:29:00,7aee3f20-61f...,83.3,0,0,0.13,LOW,0.381,0.9512
15,2023-05-01 01:32:00,fceef9b3-981...,140.67,0,0,0.13,LOW,0.381,0.9512
16,2023-05-01 01:34:00,81697ea2-f5d...,500.0,0,1,0.515,MEDIUM,0.3024,0.9512
17,2023-05-01 01:34:00,c991fb7a-f5c...,65325.72,0,0,0.15,LOW,0.3766,0.9512
18,2023-05-01 01:43:00,2ec2dfb2-193...,2415.81,0,0,0.15,LOW,0.3766,0.9512
19,2023-05-01 01:46:00,bbdf6837-aab...,137852.68,0,0,0.15,LOW,0.3766,0.9512
20,2023-05-01 01:50:00,9e342a67-6e2...,14721.58,0,0,0.15,LOW,0.3766,0.9512
21,2023-05-01 02:02:00,5cbba4d0-3c5...,80.98,0,0,0.15,LOW,0.3766,0.9512
22,2023-05-01 02:02:00,81697ea2-f5d...,500.0,0,1,0.545,MEDIUM,0.3061,0.9512
23,2023-05-01 02:09:00,8df3fb3f-36b...,3603.24,0,0,0.15,LOW,0.3766,0.9512
24,2023-05-01 02:10:00,37d50aaa-0ca...,28592.01,1,0,0.2674,LOW,0.5505,0.9512
25,2023-05-01 02:13:00,3b1e5d03-563...,916.62,0,0,0.15,LOW,0.3766,0.9512
26,2023-05-01 02:21:00,7af28f6a-7ed...,23349.89,0,0,0.15,LOW,0.3766,0.9512
27,2023-05-01 02:25:00,800f26bb-ab1...,1460.55,0,0,0.15,LOW,0.3766,0.9512
28,2023-05-01 02:29:00,6ded4d28-8bc...,20883.68,0,0,0.15,LOW,0.3766,0.9512
29,2023-05-01 02:37:00,81697ea2-f5d...,500.0,0,1,0.555,HIGH,0.3162,0.9512
30,2023-05-01 02:37:00,fceef9b3-981...,1014.98,0,0,0.15,LOW,0.3766,0.9512
31,2023-05-01 02:41:00,81697ea2-f5d...,734.94,1,0,0.6724,HIGH,0.5655,0.9512
32,2023-05-01 02:43:00,c991fb7a-f5c...,49628.17,0,0,0.17,LOW,0.3698,0.9512
33,2023-05-01 02:45:00,2ec2dfb2-193...,2745.58,0,0,0.17,LOW,0.3698,0.9512
34,2023-05-01 02:46:00,bbdf6837-aab...,42.08,0,0,0.17,LOW,0.3698,0.9512
35,2023-05-01 02:50:00,9e342a67-6e2...,394.27,0,0,0.17,LOW,0.3698,0.9512
36,2023-05-01 02:53:00,5cbba4d0-3c5...,1969.43,0,0,0.17,LOW,0.3698,0.9512
37,2023-05-01 02:57:00,59684263-0e0...,195029.45,0,0,0.13,LOW,0.381,0.9512
38,2023-05-01 02:59:00,8df3fb3f-36b...,1084.76,0,0,0.17,LOW,0.3698,0.9512
39,2023-05-01 03:00:00,37d50aaa-0ca...,2280.26,0,0,0.2045,LOW,0.3473,0.9512
40,2023-05-01 03:04:00,3b1e5d03-563...,9391.69,0,0,0.17,LOW,0.3698,0.9512
41,2023-05-01 03:14:00,7af28f6a-7ed...,8794.43,0,0,0.17,LOW,0.3698,0.9512
42,2023-05-01 03:21:00,800f26bb-ab1...,4506.12,0,0,0.17,LOW,0.3698,0.9512
43,2023-05-01 03:23:00,6ded4d28-8bc...,523.29,0,0,0.17,LOW,0.3698,0.9512
44,2023-05-01 03:29:00,7aee3f20-61f...,646.92,0,0,0.15,LOW,0.3766,0.9512
45,2023-05-01 03:32:00,fceef9b3-981...,239.29,0,0,0.17,LOW,0.3698,0.9512
46,2023-05-01 03:34:00,81697ea2-f5d...,1080.56,0,0,0.5895,HIGH,0.3371,0.9512
47,2023-05-01 03:42:00,c991fb7a-f5c...,775.43,0,0,0.17,LOW,0.3778,0.9512
48,2023-05-01 03:48:00,2ec2dfb2-193...,10275.78,0,0,0.17,LOW,0.3778,0.9512
49,2023-05-01 03:53:00,bbdf6837-aab...,960.6,0,0,0.17,LOW,0.3778,0.9512
50,2023-05-01 03:56:00,9e342a67-6e2...,168936.7,0,0,0.17,LOW,0.3778,0.9512
51,2023-05-01 04:02:00,5cbba4d0-3c5...,170.08,0,0,0.17,LOW,0.3778,0.9512
52,2023-05-01 04:11:00,59684263-0e0...,735.21,0,0,0.15,LOW,0.3766,0.9512
53,2023-05-01 04:16:00,81697ea2-f5d...,2000.0,0,1,0.5995,HIGH,0.3474,0.9512
54,2023-05-01 04:29:00,37d50aaa-0ca...,15314.61,0,0,0.2045,LOW,0.3553,0.9512
55,2023-05-01 04:31:00,3b1e5d03-563...,217.94,0,0,0.17,LOW,0.3778,0.9512
56,2023-05-01 04:42:00,7af28f6a-7ed...,27353.15,0,0,0.17,LOW,0.3778,0.9512
57,2023-05-01 04:45:00,800f26bb-ab1...,7178.58,0,0,0.17,LOW,0.3778,0.9512
58,2023-05-01 04:48:00,6ded4d28-8bc...,883.77,0,0,0.17,LOW,0.3778,0.9512
59,2023-05-01 04:59:00,7aee3f20-61f...,3474.37,0,0,0.17,LOW,0.3698,0.9512
60,2023-05-01 05:00:00,fceef9b3-981...,1083.58,0,0,0.125,LOW,0.3778,0.9512
61,2023-05-01 05:03:00,81697ea2-f5d...,1061.24,0,0,0.5545,HIGH,0.3554,0.9512
62,2023-05-01 05:08:00,c991fb7a-f5c...,6751.02,0,0,0.125,LOW,0.3858,0.9512
63,2023-05-01 05:18:00,2ec2dfb2-193...,505185.53,0,0,0.125,LOW,0.3858,0.9512
64,2023-05-01 05:19:00,bbdf6837-aab...,19622.76,0,0,0.125,LOW,0.3858,0.9512
65,2023-05-01 05:25:00,9e342a67-6e2...,811.35,0,0,0.125,LOW,0.3858,0.9512
66,2023-05-01 05:27:00,5cbba4d0-3c5...,26713.1,0,0,0.125,LOW,0.3858,0.9512
