hour_of_day,day_of_week,is_weekend,recent_activity_count_24h,recent_activity_count_7d,recent_amount_24h,max_single_amount_24h,historical_cashout_count_30d,historical_incident_count_500m,historical_incident_count_2km,atm_density_1km,connected_mule_accounts_count,unique_accounts_24h,hours_since_last_activity,amount_log_24h,target,atm_id,atm_code,city,cutoff_time
0.0,2.0,0.0,2.0,20.0,710.39,528.94,0.0,6.0,73.0,0.0,0.0,2.0,7.1666665,6.5672207,0,f1f8d2d0-6ea3-5875-acce-a83a08547247,ATM-NEW-0001,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,5.0,32.0,6834.0,5000.0,0.0,9.0,157.0,0.0,1.0,5.0,7.1666665,8.829812,0,c45eaf1f-d739-587d-8090-276bc5a6a01e,ATM-NEW-0002,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,2.0,27.0,593.67,441.59,0.0,10.0,150.0,0.0,0.0,2.0,6.9,6.3880067,0,b3dc96a5-31cc-51a8-a4bc-4d47da6df377,ATM-NEW-0003,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,4.0,25.0,980600.4,723098.56,0.0,11.0,115.0,0.0,1.0,4.0,4.116667,13.795921,0,91abf21e-5b5e-5823-b4f0-c5d40f77d717,ATM-NEW-0004,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,5.0,30.0,32764.64,16818.76,0.0,10.0,152.0,0.0,0.0,5.0,4.9666667,10.397136,0,7bb876b7-d98c-59b9-bfe7-5d6d8706898d,ATM-NEW-0005,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,6.0,60.0,149706.39,117709.13,0.0,24.0,315.0,0.0,1.0,6.0,1.05,11.916438,0,863a1f8a-9358-5d83-a37a-ef1b3af72061,ATM-NEW-0006,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,16.0,63.0,436412.03,232059.03,1.0,25.0,326.0,0.0,0.0,16.0,2.4,12.986344,0,ae9a45fc-c291-5efa-a2ad-8e3d969953d5,ATM-NEW-0007,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,5.0,31.0,11067.64,6722.31,0.0,9.0,153.0,0.0,0.0,5.0,4.85,9.311872,0,6110b5e8-c838-5a36-af9e-ceec51e0c409,ATM-NEW-0008,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,7.0,43.0,27776.74,16818.76,0.0,10.0,182.0,0.0,0.0,7.0,4.016667,10.23199,0,d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9,ATM-NEW-0009,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,7.0,67.0,130861.35,75399.44,0.0,15.0,301.0,0.0,1.0,7.0,1.05,11.781901,0,1ca42a9a-50ec-5a1d-99e3-81bf7c579716,ATM-NEW-0010,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,12.0,62.0,720243.6,507765.53,0.0,18.0,313.0,0.0,0.0,12.0,1.4,13.487346,0,051674e2-a8c4-5111-bf54-2c937a9c722a,ATM-NEW-0011,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,4.0,25.0,115861.6,107438.66,1.0,5.0,150.0,0.0,0.0,4.0,2.9,11.66016,0,e3c72b40-457d-5627-b578-4da7a09c1fc1,ATM-NEW-0012,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,3.0,18.0,10523.38,5848.15,0.0,1.0,81.0,0.0,0.0,3.0,4.016667,9.26145,0,0e0b8e6c-f46a-5dce-b705-93abfbcedab7,ATM-NEW-0013,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,6.0,29.0,129428.82,107389.05,0.0,3.0,131.0,0.0,0.0,6.0,0.4,11.770894,0,d89b2703-b172-5529-922c-4af9eb48d45f,ATM-NEW-0014,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,6.0,35.0,622451.1,507765.53,0.0,13.0,171.0,0.0,0.0,6.0,1.4,13.341422,0,7c8a9fea-1f01-5794-b1f8-1f33bc77651b,ATM-NEW-0015,New Delhi,2023-02-15T00:00:00
0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,3.0,77.0,0.0,0.0,0.0,26.4,0.0,0,81697ea2-f5de-540b-a729-ead84b45e611,ATM-MUM-0016,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,6.0,32.0,45011.79,25609.96,0.0,11.0,155.0,0.0,0.0,6.0,5.1,10.714702,0,c991fb7a-f5c2-5464-b968-538bf5c140df,ATM-MUM-0017,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,2.0,34.0,3130.08,2980.18,0.0,12.0,140.0,0.0,0.0,2.0,8.983334,8.049133,0,2ec2dfb2-1938-5797-bf2d-736d604948cb,ATM-MUM-0018,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,0.0,23.0,0.0,0.0,0.0,6.0,101.0,0.0,0.0,0.0,24.533333,0.0,0,bbdf6837-aab5-5b4e-839e-9ee61eaea352,ATM-MUM-0019,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,5.0,33.0,227167.31,168399.5,0.0,3.0,129.0,0.0,0.0,5.0,4.3166666,12.3334465,0,9e342a67-6e23-50e0-affc-c624e2da2f70,ATM-MUM-0020,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,9.0,61.0,211687.88,168399.5,0.0,17.0,254.0,0.0,0.0,9.0,4.133333,12.262873,0,5cbba4d0-3c52-5f68-9295-d2058d5ea946,ATM-MUM-0021,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,9.0,46.0,46763.62,25609.96,0.0,18.0,209.0,0.0,0.0,9.0,2.5666666,10.752882,0,59684263-0e01-5fc5-9de6-966d650e19e5,ATM-MUM-0022,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,5.0,24.0,224704.22,220312.28,0.0,5.0,102.0,0.0,0.0,5.0,0.28333333,12.322545,0,8df3fb3f-36b9-5e62-b1aa-54e0ed960822,ATM-MUM-0023,Mumbai,2023-02-15T00:00:00
0.0,2.0,0.0,4.0,34.0,14957.28,10566.51,1.0,7.0,142.0,0.0,0.0,4.0,5.016667,9.61302,0,37d50aaa-0ca6-52fd-ba0f-a0c734b03d34,ATM-MUM-0024,Mumbai,2023-02-15T00:00:00
