feature,importance
n_txs_atm_30d,0.24960394
n_txs_atm_7d,0.13106209
n_unique_accts_7d,0.08734376
amount_log_24h,0.045314543
max_amt_24h,0.043205723
hours_since_last_tx,0.04158292
total_amt_24h,0.04050438
atm_lat,0.038946617
atm_lon,0.038763992
n_cashout_7d,0.03793907
n_unique_accts_24h,0.037459522
n_txs_atm_24h,0.036940373
n_cashout_30d,0.036252934
n_cashout_24h,0.035989586
n_fraud_cashout_7d,0.035058066
n_fraud_cashout_30d,0.03498664
n_fraud_cashout_24h,0.02904583
is_weekend,0.0
hour_of_day,0.0
day_of_week,0.0
