feature,importance
n_txs_atm_30d,0.08481542
n_fraud_cashout_30d,0.0732973
n_cashout_30d,0.07183261
atm_lon,0.066377476
max_amt_24h,0.06368028
n_unique_accts_7d,0.06219591
total_amt_24h,0.061187312
n_txs_atm_7d,0.059749987
hours_since_last_tx,0.05964005
n_fraud_cashout_24h,0.05688101
n_cashout_7d,0.055523038
n_unique_accts_24h,0.053047225
atm_lat,0.05139272
n_txs_atm_24h,0.048864406
amount_log_24h,0.044624366
n_fraud_cashout_7d,0.04354288
n_cashout_24h,0.043348033
is_weekend,0.0
hour_of_day,0.0
day_of_week,0.0
