feature,importance
base_cw_count_30d,0.061274815
recent_cw_count_7d,0.05317315
fraud_cashout_atm_24h,0.052066002
fraud_cashout_atm_7d,0.049776424
fraud_cashout_atm_30d,0.048331317
fraud_activity_change,0.047829498
fraud_tx_count_atm_30d,0.047617957
base_tx_count_30d,0.04597065
velocity_surge_24h_vs_7d,0.04245528
connected_mule_accounts_7d,0.040243596
atm_lon,0.037708826
suspicious_density_city_7d,0.037361946
activity_ratio_24h,0.036887255
atm_cluster_density,0.035886902
activity_delta_24h,0.034411877
unique_account_surge_24h,0.034121953
amount_avg_per_tx_30d,0.033708435
activity_ratio_7d,0.032314006
hours_since_last_fraud,0.031891778
amount_ratio_24h,0.030318368
atm_lat,0.029442197
fraud_to_normal_ratio_30d,0.02935971
fraud_tx_count_atm_7d,0.028725967
suspicious_density_city_24h,0.026126508
base_cw_rate_daily,0.020451834
cw_volatility_7d,0.017081441
recent_cw_count_24h,0.015462256
fraud_tx_count_atm_24h,0.0
hour_of_day,0.0
day_of_week,0.0
is_weekend,0.0
