event_index,cutoff_time,atm_id,city,Approach A1 (Robust Z-Score)_rank,Approach A1 (Robust Z-Score)_top5,Approach A1 (Robust Z-Score)_top10,Approach A1 (Robust Z-Score)_top20,Approach A2 (Isolation Forest)_rank,Approach A2 (Isolation Forest)_top5,Approach A2 (Isolation Forest)_top10,Approach A2 (Isolation Forest)_top20,Approach B (Activity Residual)_rank,Approach B (Activity Residual)_top5,Approach B (Activity Residual)_top10,Approach B (Activity Residual)_top20,Approach C (Candidate Trigger)_rank,Approach C (Candidate Trigger)_top5,Approach C (Candidate Trigger)_top10,Approach C (Candidate Trigger)_top20,Approach D (Graph Risk)_rank,Approach D (Graph Risk)_top5,Approach D (Graph Risk)_top10,Approach D (Graph Risk)_top20,Approach E (Hybrid 5-Way)_rank,Approach E (Hybrid 5-Way)_top5,Approach E (Hybrid 5-Way)_top10,Approach E (Hybrid 5-Way)_top20,Combo A+B_rank,Combo A+B_top5,Combo A+B_top10,Combo A+B_top20,Combo A+B+D_rank,Combo A+B+D_top5,Combo A+B+D_top10,Combo A+B+D_top20,Baseline: Random_rank,Baseline: Random_top5,Baseline: Random_top10,Baseline: Random_top20,Baseline: 30d Volume_rank,Baseline: 30d Volume_top5,Baseline: 30d Volume_top10,Baseline: 30d Volume_top20,Baseline: 7d Volume_rank,Baseline: 7d Volume_top5,Baseline: 7d Volume_top10,Baseline: 7d Volume_top20,Baseline: Hist Fraud Rate_rank,Baseline: Hist Fraud Rate_top5,Baseline: Hist Fraud Rate_top10,Baseline: Hist Fraud Rate_top20,Baseline: Recent Fraud 7d_rank,Baseline: Recent Fraud 7d_top5,Baseline: Recent Fraud 7d_top10,Baseline: Recent Fraud 7d_top20
1,2023-01-27,dce0c68a-90eb-5756-908b-549f801f0816,Hyderabad,92,0,0,0,61,0,0,0,95,0,0,0,114,0,0,0,115,0,0,0,114,0,0,0,92,0,0,0,109,0,0,0,110,0,0,0,111,0,0,0,48,0,0,0,99,0,0,0,94,0,0,0
2,2023-02-03,fceef9b3-9818-5d9c-9786-aa1ba0a869e2,Mumbai,27,0,0,0,21,0,0,0,51,0,0,0,29,0,0,0,22,0,0,0,35,0,0,0,28,0,0,0,26,0,0,0,51,0,0,0,4,1,1,1,79,0,0,0,54,0,0,0,15,0,0,1
3,2023-03-10,644ec086-7a2f-56c1-8890-a0cf1371bb8f,Jaipur,89,0,0,0,95,0,0,0,130,0,0,0,90,0,0,0,106,0,0,0,96,0,0,0,89,0,0,0,94,0,0,0,121,0,0,0,58,0,0,0,91,0,0,0,130,0,0,0,128,0,0,0
4,2023-04-14,1ceabaf4-936c-5e09-9db4-955f82fbe69e,Bengaluru,84,0,0,0,98,0,0,0,39,0,0,0,78,0,0,0,61,0,0,0,68,0,0,0,84,0,0,0,60,0,0,0,104,0,0,0,72,0,0,0,79,0,0,0,86,0,0,0,39,0,0,0
5,2023-05-19,6ded4d28-8bc2-5507-85db-b9ec23a0756c,Mumbai,5,1,1,1,13,0,0,1,4,1,1,1,2,1,1,1,6,0,1,1,7,0,1,1,5,1,1,1,4,1,1,1,53,0,0,0,66,0,0,0,80,0,0,0,23,0,0,0,36,0,0,0
6,2023-06-09,6e2eb94c-abea-566d-881f-33304c81d95b,Hyderabad,9,0,1,1,6,0,1,1,23,0,0,0,11,0,0,1,5,1,1,1,11,0,0,1,13,0,0,1,11,0,0,1,140,0,0,0,43,0,0,0,23,0,0,0,39,0,0,0,13,0,0,1
7,2023-06-30,41174545-6f86-5ccc-94c0-7054225d58ad,Chennai,61,0,0,0,81,0,0,0,56,0,0,0,46,0,0,0,59,0,0,0,70,0,0,0,61,0,0,0,60,0,0,0,6,0,1,1,59,0,0,0,101,0,0,0,35,0,0,0,56,0,0,0
8,2023-07-14,6e2eb94c-abea-566d-881f-33304c81d95b,Hyderabad,77,0,0,0,57,0,0,0,99,0,0,0,88,0,0,0,88,0,0,0,92,0,0,0,77,0,0,0,84,0,0,0,126,0,0,0,57,0,0,0,26,0,0,0,116,0,0,0,97,0,0,0
9,2023-07-21,14e22c3d-5500-5971-b937-f612a3b05543,Chennai,30,0,0,0,31,0,0,0,59,0,0,0,54,0,0,0,47,0,0,0,56,0,0,0,32,0,0,0,39,0,0,0,137,0,0,0,49,0,0,0,110,0,0,0,39,0,0,0,20,0,0,1
10,2023-09-15,c5ebb465-883d-56d7-ade4-8ad239491127,Jaipur,97,0,0,0,70,0,0,0,125,0,0,0,91,0,0,0,60,0,0,0,75,0,0,0,97,0,0,0,74,0,0,0,20,0,0,1,120,0,0,0,26,0,0,0,130,0,0,0,124,0,0,0
11,2023-09-29,67107270-efc6-529d-8ace-22395900dddc,Ahmedabad,148,0,0,0,116,0,0,0,76,0,0,0,95,0,0,0,78,0,0,0,95,0,0,0,148,0,0,0,94,0,0,0,74,0,0,0,107,0,0,0,106,0,0,0,74,0,0,0,67,0,0,0
12,2023-09-29,dce0c68a-90eb-5756-908b-549f801f0816,Hyderabad,8,0,1,1,17,0,0,1,4,1,1,1,112,0,0,0,43,0,0,0,31,0,0,0,6,0,1,1,9,0,1,1,19,0,0,1,104,0,0,0,43,0,0,0,99,0,0,0,102,0,0,0
13,2023-11-03,de2d188a-a433-5f4b-869a-2ffe30dfc6ab,Ahmedabad,71,0,0,0,56,0,0,0,75,0,0,0,75,0,0,0,90,0,0,0,98,0,0,0,71,0,0,0,87,0,0,0,131,0,0,0,64,0,0,0,10,0,1,1,94,0,0,0,75,0,0,0
14,2023-11-24,7aee3f20-61f3-58df-bbd1-af7d2ad4f502,Mumbai,143,0,0,0,97,0,0,0,85,0,0,0,83,0,0,0,79,0,0,0,79,0,0,0,143,0,0,0,82,0,0,0,70,0,0,0,50,0,0,0,79,0,0,0,79,0,0,0,85,0,0,0
15,2023-12-01,e3c72b40-457d-5627-b578-4da7a09c1fc1,New Delhi,79,0,0,0,99,0,0,0,44,0,0,0,104,0,0,0,103,0,0,0,104,0,0,0,79,0,0,0,106,0,0,0,121,0,0,0,62,0,0,0,59,0,0,0,53,0,0,0,12,0,0,1
16,2023-12-08,ae9a45fc-c291-5efa-a2ad-8e3d969953d5,New Delhi,15,0,0,1,20,0,0,1,21,0,0,0,5,1,1,1,15,0,0,1,19,0,0,1,19,0,0,1,17,0,0,1,3,1,1,1,23,0,0,0,15,0,0,1,18,0,0,1,6,0,1,1
