target,model_or_baseline,roc_auc,pr_auc,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20
TARGET_A (Cash Withdrawal),Baseline 1: Random Ranking,0.4992,0.2708,0.2,0.2,0.2,0.0005,0.001,0.0019
TARGET_A (Cash Withdrawal),Baseline 2: Rank by n_txs_atm_30d,0.7371,0.4703,0.6,0.8,0.7,0.0014,0.0038,0.0067
TARGET_A (Cash Withdrawal),Baseline 3: Rank by n_txs_atm_7d,0.7349,0.4642,0.8,0.5,0.55,0.0019,0.0024,0.0053
TARGET_A (Cash Withdrawal),Baseline 4: Historical ATM Pos Rate (Train Only),0.7375,0.467,1.0,0.8,0.65,0.0024,0.0038,0.0062
TARGET_A (Cash Withdrawal),Random Forest (Reported),0.7365,0.4685,1.0,0.8,0.65,0.0024,0.0038,0.0062
TARGET_A (Cash Withdrawal),XGBoost (Reported),0.727,0.4519,0.8,0.6,0.55,0.0019,0.0029,0.0053
TARGET_B (Fraud Cashout),Baseline 1: Random Ranking,0.5571,0.0045,0.0,0.0,0.0,0.0,0.0,0.0
TARGET_B (Fraud Cashout),Baseline 2: Rank by n_txs_atm_30d,0.5695,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
TARGET_B (Fraud Cashout),Baseline 3: Rank by n_txs_atm_7d,0.5602,0.0024,0.0,0.0,0.0,0.0,0.0,0.0
TARGET_B (Fraud Cashout),Baseline 4: Historical ATM Pos Rate (Train Only),0.5401,0.003,0.0,0.0,0.0,0.0,0.0,0.0
TARGET_B (Fraud Cashout),Random Forest (Reported),0.5872,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
TARGET_B (Fraud Cashout),XGBoost (Reported),0.6007,0.0027,0.0,0.0,0.0,0.0,0.0,0.0
