baseline,cutoff_time,atm_count,positive_count,top5_hits,top10_hits,top20_hits,precision_at_5,precision_at_10,precision_at_20,recall_at_5,recall_at_10,recall_at_20
Random,2022-12-30,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-01-06,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-01-13,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-01-20,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-01-27,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-02-03,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-02-10,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-02-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-02-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-03-03,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-03-10,150,1,1,1,1,0.2,0.1,0.05,1.0,1.0,1.0
Random,2023-03-17,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-03-24,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-03-31,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-04-07,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-04-14,150,1,0,0,1,0.0,0.0,0.05,0.0,0.0,1.0
Random,2023-04-21,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-04-28,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-05-05,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-05-12,150,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
Random,2023-05-19,150,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0
