cutoff_time,true_positive_atm,tp_city,tp_rank,tp_score,top5_hits,top10_hits,top20_hits,top5_atms,top10_atms,total_positives
2023-01-27,dce0c68a-90eb-5756-908b-549f801f0816,Hyderabad,77,0.00125,0,0,0,7bb876b7-d98c-59b9-bfe7-5d6d8706898d|d89b2703-b172-5529-922c-4af9eb48d45f|d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9|1ca42a9a-50ec-5a1d-99e3-81bf7c579716|37d50aaa-0ca6-52fd-ba0f-a0c734b03d34,7bb876b7-d98c-59b9-bfe7-5d6d8706898d|d89b2703-b172-5529-922c-4af9eb48d45f|d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9...,1
2023-02-03,fceef9b3-9818-5d9c-9786-aa1ba0a869e2,Mumbai,49,0.003679,0,0,0,644ec086-7a2f-56c1-8890-a0cf1371bb8f|eade7219-66ba-5894-8964-9eff10228818|c991fb7a-f5c2-5464-b968-538bf5c140df|7bb876b7-d98c-59b9-bfe7-5d6d8706898d|6110b5e8-c838-5a36-af9e-ceec51e0c409,644ec086-7a2f-56c1-8890-a0cf1371bb8f|eade7219-66ba-5894-8964-9eff10228818|c991fb7a-f5c2-5464-b968-538bf5c140df...,1
2023-03-10,644ec086-7a2f-56c1-8890-a0cf1371bb8f,Jaipur,1,0.86031,1,1,1,644ec086-7a2f-56c1-8890-a0cf1371bb8f|642f4235-82f6-5143-8ea5-5048e8f0d80a|d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9|1ca42a9a-50ec-5a1d-99e3-81bf7c579716|7142d25c-5954-53f9-ba18-f95055901780,644ec086-7a2f-56c1-8890-a0cf1371bb8f|642f4235-82f6-5143-8ea5-5048e8f0d80a|d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9...,1
2023-04-14,1ceabaf4-936c-5e09-9db4-955f82fbe69e,Bengaluru,8,0.109937,0,1,1,1b131b05-4df1-5564-b4fd-6cb5e09cfdd5|bbdf6837-aab5-5b4e-839e-9ee61eaea352|08c99329-0e59-5327-8796-9fef243ca011|3b1e5d03-563a-5430-87b7-e281fa8f8af4|5cbba4d0-3c52-5f68-9295-d2058d5ea946,1b131b05-4df1-5564-b4fd-6cb5e09cfdd5|bbdf6837-aab5-5b4e-839e-9ee61eaea352|08c99329-0e59-5327-8796-9fef243ca011...,1
2023-05-19,6ded4d28-8bc2-5507-85db-b9ec23a0756c,Mumbai,87,0.000869,0,0,0,fceef9b3-9818-5d9c-9786-aa1ba0a869e2|ce707439-e5cd-56de-8ce2-b3a7f8a910c5|422e93c8-7fc2-5abd-bd82-7b2eb566f6e6|328c3398-026a-5b82-ad02-8598a7d943ba|d89b2703-b172-5529-922c-4af9eb48d45f,fceef9b3-9818-5d9c-9786-aa1ba0a869e2|ce707439-e5cd-56de-8ce2-b3a7f8a910c5|422e93c8-7fc2-5abd-bd82-7b2eb566f6e6...,1
2023-06-09,6e2eb94c-abea-566d-881f-33304c81d95b,Hyderabad,49,0.005001,0,0,0,863a1f8a-9358-5d83-a37a-ef1b3af72061|4cc4f0b0-6522-5752-8674-65bde1e7ee07|d89b2703-b172-5529-922c-4af9eb48d45f|8df3fb3f-36b9-5e62-b1aa-54e0ed960822|59684263-0e01-5fc5-9de6-966d650e19e5,863a1f8a-9358-5d83-a37a-ef1b3af72061|4cc4f0b0-6522-5752-8674-65bde1e7ee07|d89b2703-b172-5529-922c-4af9eb48d45f...,1
2023-06-30,41174545-6f86-5ccc-94c0-7054225d58ad,Chennai,90,0.000364,0,0,0,863a1f8a-9358-5d83-a37a-ef1b3af72061|d5f219b1-03da-5f87-a5da-607ea7af6899|f3b246fb-34cb-5d78-af2d-6a294c2857ba|d96fb612-761a-52d1-8bfd-a2368e7f9fd3|d89b2703-b172-5529-922c-4af9eb48d45f,863a1f8a-9358-5d83-a37a-ef1b3af72061|d5f219b1-03da-5f87-a5da-607ea7af6899|f3b246fb-34cb-5d78-af2d-6a294c2857ba...,1
2023-07-14,6e2eb94c-abea-566d-881f-33304c81d95b,Hyderabad,44,0.003811,0,0,0,0949a9d8-1c2f-5d53-bc48-6050d92fe35b|8df3fb3f-36b9-5e62-b1aa-54e0ed960822|f41c7ddd-7008-5aeb-99eb-f05a1845a016|1b131b05-4df1-5564-b4fd-6cb5e09cfdd5|1ca42a9a-50ec-5a1d-99e3-81bf7c579716,0949a9d8-1c2f-5d53-bc48-6050d92fe35b|8df3fb3f-36b9-5e62-b1aa-54e0ed960822|f41c7ddd-7008-5aeb-99eb-f05a1845a016...,1
2023-07-21,14e22c3d-5500-5971-b937-f612a3b05543,Chennai,50,0.002704,0,0,0,1ca42a9a-50ec-5a1d-99e3-81bf7c579716|8279eaa3-c5e0-5a20-9db9-075ee86efeb4|7aee3f20-61f3-58df-bbd1-af7d2ad4f502|3aa4e1f6-58c6-5cbb-a302-28689bbca879|4407e36e-71bc-5526-9a73-9f76e801cc45,1ca42a9a-50ec-5a1d-99e3-81bf7c579716|8279eaa3-c5e0-5a20-9db9-075ee86efeb4|7aee3f20-61f3-58df-bbd1-af7d2ad4f502...,1
2023-09-15,c5ebb465-883d-56d7-ade4-8ad239491127,Jaipur,120,0.000195,0,0,0,b7c4c3b5-15ff-512b-bc9b-d52f3797f893|41174545-6f86-5ccc-94c0-7054225d58ad|f3b246fb-34cb-5d78-af2d-6a294c2857ba|863a1f8a-9358-5d83-a37a-ef1b3af72061|d05fbe4b-fcba-52a3-9d29-e0fce9ccdbd9,b7c4c3b5-15ff-512b-bc9b-d52f3797f893|41174545-6f86-5ccc-94c0-7054225d58ad|f3b246fb-34cb-5d78-af2d-6a294c2857ba...,1
